=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:26:02 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
Time:52240, ID:1, X:126, Y:135, W:81, H:81
Time:52294, ID:1, X:126, Y:135, W:81, H:81
Time:52348, ID:1, X:125, Y:135, W:81, H:81
Time:52402, ID:1, X:125, Y:135, W:81, H:81
Time:52456, ID:1, X:126, Y:134, W:81, H:81
Time:52510, ID:1, X:126, Y:134, W:81, H:81
Time:52564, ID:1, X:126, Y:133, W:81, H:81
Time:52618, ID:1, X:126, Y:133, W:81, H:81
Time:52672, ID:1, X:126, Y:133, W:81, H:81
Time:52726, ID:1, X:126, Y:133, W:81, H:81
Time:52780, ID:1, X:126, Y:133, W:81, H:81
Time:52834, ID:1, X:126, Y:133, W:81, H:81
Time:52888, ID:1, X:126, Y:133, W:81, H:81
Time:52942, ID:1, X:126, Y:133, W:81, H:81
Time:52996, ID:1, X:127, Y:130, W:81, H:81
Time:53050, ID:1, X:127, Y:130, W:81, H:81
Time:53104, ID:1, X:126, Y:131, W:81, H:81
Time:53158, ID:1, X:126, Y:131, W:81, H:81
Time:53212, ID:1, X:127, Y:130, W:81, H:81
Time:53266, ID:1, X:127, Y:130, W:81, H:81
Time:53320, ID:1, X:127, Y:130, W:81, H:81
Time:53374, ID:1, X:127, Y:130, W:81, H:81
Time:53428, ID:1, X:126, Y:131, W:81, H:81
Time:53482, ID:1, X:126, Y:131, W:81, H:81
Time:53536, ID:1, X:128, Y:130, W:81, H:81
Time:53590, ID:1, X:128, Y:130, W:81, H:81
Time:53644, ID:1, X:128, Y:130, W:81, H:81
Time:53698, ID:1, X:127, Y:130, W:81, H:81
Time:53752, ID:1, X:127, Y:130, W:81, H:81
Time:53806, ID:1, X:127, Y:130, W:81, H:81
Time:53860, ID:1, X:127, Y:130, W:81, H:81
Time:53914, ID:1, X:126, Y:129, W:81, H:81
Time:53968, ID:1, X:126, Y:129, W:81, H:81
Time:54022, ID:1, X:126, Y:129, W:81, H:81
Time:54076, ID:1, X:125, Y:130, W:81, H:81
Time:54130, ID:1, X:125, Y:130, W:81, H:81
Time:54184, ID:1, X:127, Y:130, W:81, H:81
Time:54238, ID:1, X:127, Y:130, W:81, H:81
Time:54292, ID:1, X:125, Y:134, W:81, H:81
Time:54346, ID:1, X:125, Y:134, W:81, H:81
Time:54400, ID:1, X:124, Y:136, W:81, H:81
Time:54454, ID:1, X:124, Y:136, W:81, H:81
Time:54508, ID:1, X:124, Y:138, W:81, H:81
Time:54562, ID:1, X:124, Y:138, W:81, H:81
Time:54616, ID:1, X:127, Y:136, W:80, H:80
Time:54670, ID:1, X:127, Y:136, W:80, H:80
