=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:18:03 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
Time:74493, ID:1, X:160, Y:128, W:70, H:70
Time:74547, ID:1, X:160, Y:129, W:70, H:70
Time:74601, ID:1, X:160, Y:129, W:70, H:70
Time:74655, ID:1, X:160, Y:130, W:70, H:70
Time:74709, ID:1, X:160, Y:130, W:70, H:70
Time:74763, ID:1, X:160, Y:130, W:70, H:70
Time:74817, ID:1, X:160, Y:129, W:70, H:70
Time:74871, ID:1, X:160, Y:129, W:70, H:70
Time:74925, ID:1, X:160, Y:129, W:70, H:70
Time:74979, ID:1, X:160, Y:129, W:70, H:70
Time:75033, ID:1, X:160, Y:129, W:70, H:70
Time:75087, ID:1, X:160, Y:129, W:70, H:70
Time:75141, ID:1, X:160, Y:129, W:70, H:70
Time:75195, ID:1, X:160, Y:129, W:70, H:70
Time:75249, ID:1, X:160, Y:129, W:70, H:70
Time:75303, ID:1, X:160, Y:128, W:70, H:70
Time:75357, ID:1, X:160, Y:128, W:70, H:70
Time:75411, ID:1, X:160, Y:128, W:70, H:70
Time:75465, ID:1, X:160, Y:128, W:70, H:70
Time:75519, ID:1, X:160, Y:128, W:70, H:70
Time:75573, ID:1, X:160, Y:128, W:70, H:70
Time:75627, ID:1, X:160, Y:129, W:70, H:70
Time:75681, ID:1, X:160, Y:129, W:70, H:70
Time:75735, ID:1, X:160, Y:130, W:70, H:70
Time:75789, ID:1, X:160, Y:130, W:70, H:70
Time:75843, ID:1, X:160, Y:130, W:70, H:70
Time:75897, ID:1, X:160, Y:130, W:70, H:70
Time:75951, ID:1, X:160, Y:130, W:70, H:70
Time:76005, ID:1, X:160, Y:130, W:70, H:70
Time:76059, ID:1, X:160, Y:130, W:70, H:70
Time:76113, ID:1, X:160, Y:129, W:70, H:70
Time:76167, ID:1, X:160, Y:129, W:70, H:70
Time:76221, ID:1, X:160, Y:131, W:70, H:70
Time:76275, ID:1, X:160, Y:131, W:70, H:70
Time:76329, ID:1, X:160, Y:131, W:70, H:70
Time:76383, ID:1, X:160, Y:130, W:70, H:70
Time:76437, ID:1, X:160, Y:130, W:70, H:70
Time:76491, ID:1, X:160, Y:130, W:70, H:70
Time:76545, ID:1, X:160, Y:130, W:70, H:70
Time:76599, ID:1, X:160, Y:130, W:70, H:70
Time:76653, ID:1, X:160, Y:130, W:70, H:70
Time:76707, ID:1, X:160, Y:129, W:70, H:70
Time:76761, ID:1, X:160, Y:129, W:70, H:70
Time:76815, ID:1, X:160, Y:129, W:70, H:70
Time:76869, ID:1, X:160, Y:129, W:70, H:70
Time:76923, ID:1, X:160, Y:129, W:70, H:70
Time:76977, ID:1, X:160, Y:130, W:70, H:70
Time:77031, ID:1, X:160, Y:130, W:70, H:70
Time:77085, ID:1, X:160, Y:130, W:70, H:70
Time:77139, ID:1, X:160, Y:130, W:70, H:70
Time:77193, ID:1, X:160, Y:130, W:70, H:70
Time:77247, ID:1, X:160, Y:130, W:70, H:70
Time:77301, ID:1, X:160, Y:130, W:70, H:70
Time:77355, ID:1, X:160, Y:131, W:70, H:70
Time:77409, ID:1, X:160, Y:131, W:70, H:70
Time:77463, ID:1, X:160, Y:131, W:70, H:70
Time:77517, ID:1, X:160, Y:131, W:70, H:70
Time:77571, ID:1, X:160, Y:132, W:70, H:70
Time:77625, ID:1, X:160, Y:132, W:70, H:70
Time:77679, ID:1, X:160, Y:132, W:70, H:70
Time:77733, ID:1, X:160, Y:131, W:70, H:70
Time:77787, ID:1, X:160, Y:131, W:70, H:70
Time:77841, ID:1, X:160, Y:131, W:70, H:70
Time:77895, ID:1, X:160, Y:131, W:70, H:70
Time:77949, ID:1, X:160, Y:131, W:70, H:70
Time:78003, ID:1, X:160, Y:130, W:70, H:70
Time:78057, ID:1, X:160, Y:130, W:70, H:70
Time:78111, ID:1, X:160, Y:129, W:70, H:70
Time:78165, ID:1, X:160, Y:129, W:70, H:70
Time:78219, ID:1, X:160, Y:129, W:70, H:70
Time:78273, ID:1, X:160, Y:129, W:70, H:70
Time:78327, ID:1, X:160, Y:129, W:70, H:70
Time:78381, ID:1, X:160, Y:129, W:70, H:70
Time:78435, ID:1, X:160, Y:129, W:70, H:70
Time:78489, ID:1, X:160, Y:129, W:70, H:70
Time:78543, ID:1, X:160, Y:128, W:70, H:70
Time:78597, ID:1, X:160, Y:128, W:70, H:70
Time:78651, ID:1, X:160, Y:130, W:70, H:70
Time:78705, ID:1, X:160, Y:130, W:70, H:70
Time:78759, ID:1, X:160, Y:131, W:70, H:70
Time:78813, ID:1, X:160, Y:131, W:70, H:70
Time:78867, ID:1, X:160, Y:133, W:70, H:70
Time:78921, ID:1, X:160, Y:133, W:70, H:70
Time:78975, ID:1, X:160, Y:134, W:70, H:70
Time:79029, ID:1, X:160, Y:134, W:70, H:70
Time:79083, ID:1, X:160, Y:135, W:70, H:70
Time:79137, ID:1, X:160, Y:135, W:70, H:70
Time:79191, ID:1, X:160, Y:133, W:70, H:70
Time:79245, ID:1, X:160, Y:133, W:70, H:70
Time:79299, ID:1, X:160, Y:133, W:70, H:70
Time:79353, ID:1, X:160, Y:133, W:70, H:70
Time:79407, ID:1, X:160, Y:134, W:70, H:70
Time:79461, ID:1, X:160, Y:134, W:70, H:70
Time:79515, ID:1, X:160, Y:134, W:70, H:70
Time:79569, ID:1, X:160, Y:135, W:70, H:70
Time:79623, ID:1, X:160, Y:135, W:70, H:70
Time:79677, ID:1, X:160, Y:135, W:70, H:70
Time:79731, ID:1, X:160, Y:135, W:70, H:70
Time:79785, ID:1, X:160, Y:135, W:70, H:70
Time:79839, ID:1, X:160, Y:135, W:70, H:70
Time:79893, ID:1, X:160, Y:136, W:70, H:70
Time:79947, ID:1, X:160, Y:136, W:70, H:70
Time:80001, ID:1, X:160, Y:136, W:70, H:70
Time:80055, ID:1, X:160, Y:136, W:70, H:70
Time:80109, ID:1, X:160, Y:136, W:70, H:70
Time:80163, ID:1, X:160, Y:136, W:70, H:70
Time:80217, ID:1, X:160, Y:136, W:70, H:70
Time:80271, ID:1, X:160, Y:136, W:70, H:70
Time:80325, ID:1, X:160, Y:136, W:70, H:70
Time:80379, ID:1, X:160, Y:136, W:70, H:70
Time:80433, ID:1, X:160, Y:136, W:70, H:70
Time:80487, ID:1, X:160, Y:136, W:70, H:70
Time:80541, ID:1, X:160, Y:136, W:70, H:70
Time:80595, ID:1, X:160, Y:136, W:70, H:70
Time:80649, ID:1, X:160, Y:136, W:70, H:70
Time:80703, ID:1, X:160, Y:136, W:70, H:70
Time:80757, ID:1, X:160, Y:136, W:70, H:70
Time:80811, ID:1, X:160, Y:137, W:70, H:70
Time:80865, ID:1, X:160, Y:137, W:70, H:70
Time:80919, ID:1, X:160, Y:137, W:70, H:70
Time:80973, ID:1, X:160, Y:137, W:70, H:70
Time:81027, ID:1, X:160, Y:138, W:70, H:70
Time:81081, ID:1, X:160, Y:139, W:70, H:70
Time:81135, ID:1, X:160, Y:139, W:70, H:70
Time:81189, ID:1, X:160, Y:139, W:70, H:70
Time:81243, ID:1, X:160, Y:139, W:70, H:70
Time:81297, ID:1, X:160, Y:139, W:70, H:70
Time:81351, ID:1, X:160, Y:139, W:70, H:70
Time:81405, ID:1, X:160, Y:139, W:70, H:70
Time:81459, ID:1, X:160, Y:139, W:70, H:70
Time:81513, ID:1, X:160, Y:139, W:70, H:70
Time:81567, ID:1, X:160, Y:139, W:70, H:70
Time:81621, ID:1, X:160, Y:139, W:70, H:70
Time:81675, ID:1, X:160, Y:139, W:70, H:70
Time:81729, ID:1, X:160, Y:139, W:70, H:70
Time:81783, ID:1, X:160, Y:139, W:70, H:70
Time:81837, ID:1, X:160, Y:139, W:70, H:70
Time:81891, ID:1, X:160, Y:139, W:70, H:70
Time:81945, ID:1, X:160, Y:139, W:70, H:70
Time:81999, ID:1, X:160, Y:139, W:70, H:70
Time:82053, ID:1, X:160, Y:139, W:70, H:70
Time:82107, ID:1, X:160, Y:139, W:70, H:70
Time:82161, ID:1, X:160, Y:139, W:70, H:70
Time:82215, ID:1, X:160, Y:139, W:70, H:70
Time:82269, ID:1, X:160, Y:139, W:70, H:70
Time:82323, ID:1, X:160, Y:139, W:70, H:70
Time:82377, ID:1, X:160, Y:139, W:70, H:70
Time:82431, ID:1, X:160, Y:139, W:70, H:70
Time:82485, ID:1, X:160, Y:139, W:70, H:70
Time:82539, ID:1, X:160, Y:138, W:70, H:70
Time:82593, ID:1, X:160, Y:138, W:70, H:70
Time:82647, ID:1, X:160, Y:138, W:70, H:70
Time:82701, ID:1, X:160, Y:138, W:70, H:70
Time:82755, ID:1, X:160, Y:138, W:70, H:70
Time:82809, ID:1, X:160, Y:138, W:70, H:70
Time:82863, ID:1, X:160, Y:138, W:70, H:70
Time:82917, ID:1, X:160, Y:138, W:70, H:70
Time:82971, ID:1, X:160, Y:138, W:70, H:70
Time:83025, ID:1, X:160, Y:138, W:70, H:70
Time:83079, ID:1, X:160, Y:138, W:70, H:70
Time:83133, ID:1, X:160, Y:138, W:70, H:70
Time:83187, ID:1, X:160, Y:137, W:70, H:70
Time:83241, ID:1, X:160, Y:137, W:70, H:70
Time:83295, ID:1, X:160, Y:137, W:70, H:70
Time:83349, ID:1, X:160, Y:137, W:70, H:70
Time:83403, ID:1, X:160, Y:136, W:70, H:70
Time:83457, ID:1, X:160, Y:136, W:70, H:70
Time:83511, ID:1, X:160, Y:134, W:70, H:70
Time:83565, ID:1, X:160, Y:134, W:70, H:70
Time:83619, ID:1, X:160, Y:132, W:70, H:70
Time:83673, ID:1, X:160, Y:131, W:70, H:70
Time:83727, ID:1, X:160, Y:131, W:70, H:70
Time:83781, ID:1, X:160, Y:131, W:70, H:70
Time:83835, ID:1, X:160, Y:131, W:70, H:70
Time:83889, ID:1, X:160, Y:130, W:70, H:70
Time:83943, ID:1, X:160, Y:130, W:70, H:70
Time:83997, ID:1, X:160, Y:130, W:70, H:70
Time:84051, ID:1, X:160, Y:130, W:70, H:70
Time:84105, ID:1, X:160, Y:130, W:70, H:70
Time:84159, ID:1, X:160, Y:129, W:70, H:70
Time:84213, ID:1, X:160, Y:129, W:70, H:70
Time:84267, ID:1, X:160, Y:128, W:70, H:70
Time:84321, ID:1, X:160, Y:128, W:70, H:70
Time:84375, ID:1, X:160, Y:128, W:70, H:70
Time:84429, ID:1, X:160, Y:128, W:70, H:70
Time:84483, ID:1, X:160, Y:128, W:70, H:70
Time:84537, ID:1, X:160, Y:128, W:70, H:70
Time:84591, ID:1, X:160, Y:128, W:70, H:70
Time:84645, ID:1, X:160, Y:128, W:70, H:70
Time:84699, ID:1, X:160, Y:128, W:70, H:70
Time:84753, ID:1, X:160, Y:129, W:70, H:70
Time:84807, ID:1, X:160, Y:129, W:70, H:70
Time:84861, ID:1, X:160, Y:130, W:70, H:70
Time:84915, ID:1, X:160, Y:130, W:70, H:70
Time:84969, ID:1, X:160, Y:130, W:70, H:70
Time:85023, ID:1, X:160, Y:130, W:70, H:70
Time:85077, ID:1, X:160, Y:130, W:70, H:70
Time:85131, ID:1, X:160, Y:130, W:70, H:70
Time:85185, ID:1, X:160, Y:130, W:70, H:70
Time:85239, ID:1, X:160, Y:130, W:70, H:70
Time:85293, ID:1, X:160, Y:130, W:70, H:70
Time:85347, ID:1, X:160, Y:130, W:70, H:70
Time:85401, ID:1, X:160, Y:130, W:70, H:70
Time:85455, ID:1, X:160, Y:130, W:70, H:70
Time:85509, ID:1, X:160, Y:130, W:70, H:70
Time:85563, ID:1, X:160, Y:130, W:70, H:70
Time:85617, ID:1, X:160, Y:130, W:70, H:70
Time:85671, ID:1, X:160, Y:130, W:70, H:70
Time:85725, ID:1, X:160, Y:130, W:70, H:70
Time:85779, ID:1, X:160, Y:130, W:70, H:70
Time:85833, ID:1, X:160, Y:130, W:70, H:70
Time:85887, ID:1, X:160, Y:130, W:70, H:70
Time:85941, ID:1, X:160, Y:130, W:70, H:70
Time:85995, ID:1, X:160, Y:130, W:70, H:70
Time:86049, ID:1, X:160, Y:130, W:70, H:70
Time:86103, ID:1, X:160, Y:130, W:70, H:70
Time:86157, ID:1, X:160, Y:130, W:70, H:70
Time:86211, ID:1, X:160, Y:130, W:70, H:70
Time:86265, ID:1, X:160, Y:130, W:70, H:70
Time:86319, ID:1, X:160, Y:130, W:70, H:70
Time:86373, ID:1, X:160, Y:130, W:70, H:70
Time:86427, ID:1, X:160, Y:130, W:70, H:70
Time:86481, ID:1, X:160, Y:130, W:70, H:70
Time:86535, ID:1, X:160, Y:131, W:70, H:70
Time:86589, ID:1, X:160, Y:131, W:70, H:70
Time:86643, ID:1, X:160, Y:131, W:70, H:70
Time:86697, ID:1, X:160, Y:131, W:70, H:70
Time:86751, ID:1, X:160, Y:131, W:70, H:70
Time:86805, ID:1, X:160, Y:131, W:70, H:70
Time:86859, ID:1, X:160, Y:131, W:70, H:70
Time:86913, ID:1, X:160, Y:131, W:70, H:70
Time:86967, ID:1, X:160, Y:131, W:70, H:70
Time:87021, ID:1, X:160, Y:131, W:70, H:70
Time:87075, ID:1, X:160, Y:131, W:70, H:70
Time:87129, ID:1, X:160, Y:131, W:70, H:70
Time:87183, ID:1, X:160, Y:131, W:70, H:70
Time:87237, ID:1, X:160, Y:131, W:70, H:70
Time:87291, ID:1, X:160, Y:131, W:70, H:70
Time:87345, ID:1, X:160, Y:131, W:70, H:70
Time:87399, ID:1, X:160, Y:131, W:70, H:70
Time:87453, ID:1, X:160, Y:131, W:70, H:70
Time:87507, ID:1, X:160, Y:131, W:70, H:70
Time:87561, ID:1, X:160, Y:131, W:70, H:70
Time:87615, ID:1, X:160, Y:131, W:70, H:70
Time:87669, ID:1, X:160, Y:131, W:70, H:70
Time:87723, ID:1, X:160, Y:131, W:70, H:70
Time:87777, ID:1, X:160, Y:131, W:70, H:70
Time:87831, ID:1, X:160, Y:131, W:70, H:70
Time:87885, ID:1, X:160, Y:132, W:70, H:70
Time:87939, ID:1, X:160, Y:132, W:70, H:70
