=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.30 09:54:16 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
1,3,73,37,102,
91177,1,3,94,47,116,90
91269,1,3,94,47,116,90
91360,1,3,94,47,116,90
91451,1,3,94,47,116,90
91540,1,3,88,48,104,92
91626,1,3,78,47,84,90
91718,1,3,94,46,116,88
91810,1,3,94,46,116,88
91901,1,3,94,46,116,88
91991,1,3,78,47,84,90
92083,1,3,83,48,94,92
92172,1,3,94,48,116,92
92262,1,3,80,46,88,88
92353,1,3,80,46,88,88
92444,1,3,80,46,88,88
92535,1,3,95,45,118,86
92625,1,3,95,48,118,92
92717,1,3,95,47,118,90
92808,1,3,95,46,118,88
92899,1,3,95,46,118,88
92990,1,3,95,46,118,88
93081,1,3,95,46,118,88
93171,1,3,79,45,86,86
93262,1,3,95,45,118,86
93351,1,3,95,44,118,84
93443,1,3,95,44,118,84
93534,1,3,95,44,118,84
93622,1,3,95,44,118,84
93713,1,3,95,44,118,84
93804,1,3,96,46,116,88
93895,1,3,96,46,116,88
93980,1,3,96,44,116,84
94071,1,3,98,44,120,88
94163,1,3,96,45,116,86
94254,1,3,95,45,118,86
94346,1,3,95,46,118,88
94437,1,3,95,45,118,86
94528,1,3,95,46,118,88
94619,1,3,95,46,118,88
94711,1,3,95,46,118,88
94802,1,3,95,46,118,88
94893,1,3,95,46,118,88
94985,1,3,95,46,118,88
95077,1,3,95,46,118,88
95168,1,3,95,46,118,88
95259,1,3,95,46,118,88
95348,1,3,95,46,118,88
95439,1,3,95,47,118,90
95530,1,3,95,47,118,90
95622,1,3,95,48,118,92
95710,1,3,95,48,118,92
95798,1,3,80,48,88,92
95889,1,3,95,48,118,92
95979,1,3,79,48,86,92
96069,1,3,80,48,88,92
96160,1,3,80,48,88,92
96251,1,3,80,48,88,92
96341,1,3,80,49,88,94
96433,1,3,80,49,88,94
96519,1,3,76,49,80,94
96606,1,3,78,49,84,94
96693,1,3,80,50,88,96
96782,1,3,94,49,116,94
96870,1,3,94,49,116,94
96960,1,3,80,49,88,94
97050,1,3,94,49,116,94
97137,1,3,78,49,84,94
97221,1,3,79,49,86,94
97310,1,3,94,49,116,94
97401,1,3,94,48,116,92
97492,1,3,94,48,116,92
97583,1,3,94,48,116,92
97674,1,3,94,48,116,92
97766,1,3,94,48,116,92
97858,1,3,94,49,116,94
97947,1,3,94,49,116,94
98035,1,3,80,48,88,92
98122,1,3,79,48,86,92
98207,1,3,95,48,118,92
98296,1,3,95,48,118,92
98385,1,3,95,48,118,92
98472,1,3,95,48,118,92
98562,1,3,95,48,118,92
98650,1,3,95,48,118,92
98736,1,3,95,48,118,92
98821,1,3,95,48,118,92
98910,1,3,95,48,118,92
98999,1,3,95,48,118,92
99087,1,3,95,48,118,92
99175,1,3,95,48,118,92
99266,1,3,95,48,118,92
99354,1,3,95,48,118,92
99443,1,3,95,48,118,92
99532,1,3,95,48,118,92
99621,1,3,95,48,118,92
99709,1,3,95,48,118,92
99799,1,3,95,49,118,94
99887,1,3,95,49,118,94
99977,1,3,95,48,118,92
100068,1,3,95,49,118,94
100160,1,3,95,49,118,94
100252,1,3,95,49,118,94
100344,1,3,95,48,118,92
100435,1,3,95,48,118,92
100527,1,3,95,48,118,92
100619,1,3,83,48,94,92
100711,1,3,83,48,94,92
100801,1,3,95,48,118,92
100889,1,3,76,47,80,90
100978,1,3,95,47,118,90
101068,1,3,95,48,118,92
101157,1,3,95,48,118,92
101247,1,3,95,47,118,90
101339,1,3,85,48,94,92
101427,1,3,96,48,116,92
101517,1,3,96,48,116,92
101605,1,3,96,48,116,92
101695,1,3,96,48,116,92
101784,1,3,95,48,118,92
101873,1,3,95,46,118,88
101963,1,3,95,46,118,88
102055,1,3,95,46,118,88
102147,1,3,95,47,118,90
102239,1,3,95,46,118,88
102331,1,3,95,46,118,88
102418,1,3,95,46,118,88
102508,1,3,95,46,118,88
102600,1,3,95,46,118,88
102692,1,3,95,46,118,88
102784,1,3,95,46,118,88
102877,1,3,95,46,118,88
102967,1,3,95,46,118,88
103058,1,3,95,47,118,90
103150,1,3,95,48,118,92
103242,1,3,95,48,118,92
103333,1,3,95,48,118,92
103423,1,3,95,48,118,92
103513,1,3,96,48,116,92
103604,1,3,95,48,118,92
103695,1,3,95,49,118,94
103785,1,3,95,48,118,92
103876,1,3,96,48,116,92
103968,1,3,95,48,118,92
104059,1,3,95,48,118,92
104150,1,3,95,47,118,94
104241,1,3,95,47,118,94
104333,1,3,95,48,118,92
104425,1,3,95,48,118,92
104517,1,3,95,48,118,92
104607,1,3,95,48,118,92
104697,1,3,95,48,118,92
104786,1,3,95,48,118,92
104875,1,3,95,48,118,92
104964,1,3,95,48,118,92
105056,1,3,95,48,118,92
105148,1,3,95,48,118,92
105239,1,3,95,48,118,92
105331,1,3,95,48,118,92
105422,1,3,95,48,118,92
105513,1,3,95,48,118,92
105604,1,3,95,48,118,92
105694,1,3,95,48,118,92
105784,1,3,95,48,118,92
105873,1,3,95,48,118,92
105964,1,3,95,48,118,92
106055,1,3,92,53,124,102
106145,1,3,95,48,118,92
106235,1,3,95,48,118,92
106326,1,3,95,48,118,92
106416,1,3,95,48,118,92
106506,1,3,95,48,118,92
106597,1,3,95,48,118,92
106688,1,3,95,48,118,92
106778,1,3,95,48,118,92
106870,1,3,95,48,118,92
106962,1,3,95,48,118,92
107054,1,3,95,48,118,92
107146,1,3,95,48,118,92
107235,1,3,95,48,118,92
107324,1,3,95,48,118,92
107416,1,3,95,49,118,94
107508,1,3,95,49,118,94
107600,1,3,95,48,118,92
107691,1,3,95,48,118,92
107783,1,3,95,49,118,94
107875,1,3,95,49,118,94
107967,1,3,95,48,118,92
108059,1,3,95,48,118,92
108151,1,3,95,48,118,92
1
