=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:20:08 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
Time:70934, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70986, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71038, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71090, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71142, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71194, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71246, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71298, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71350, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71402, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71454, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71506, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71558, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71610, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71662, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71714, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71766, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71818, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71870, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71922, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:71974, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72026, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72078, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72130, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72182, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72234, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72286, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72338, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72390, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72442, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72494, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72546, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72598, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72650, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72702, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72754, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72806, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72858, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72910, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:72962, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73014, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73066, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73118, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73170, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73222, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73274, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73326, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73378, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73430, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73482, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73534, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73586, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73638, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73690, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73742, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73794, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73846, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73898, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:73950, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74002, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74054, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74106, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74158, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74210, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74262, ID:-1, X:-1, Y:-1, W:-1, H:-1
